timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
2025-07-02 08:32:15.244081,0.0,1.4163905339413109e-05,0.20500028731926342,-2.3596648650207552e-07,0.0,0.0,0.9999999999999722,0.0,-1.3281167910592884e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.282903,0.0,1.4160109488641965e-05,0.20500028236704168,-2.3213602579187527e-07,0.0,0.0,0.9999999999999731,0.0,-1.0793619042139492e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.293204,0.0,1.4157976764695744e-05,0.2050002792758745,-2.2973183428608293e-07,0.0,0.0,0.9999999999999738,0.0,-9.276493124581604e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.305312,0.0,1.4157021558057822e-05,0.2050002777902625,-2.28572785244184e-07,0.0,0.0,0.999999999999974,0.0,-8.557070202176906e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.313503,0.0,1.4156137054534537e-05,0.20500027634329893,-2.2744165237245607e-07,0.0,0.0,0.9999999999999742,0.0,-7.862420163105821e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.334851,0.0,1.4151333513267058e-05,0.20500026604706578,-2.1932957884776097e-07,0.0,0.0,0.999999999999976,0.0,-3.090920920275051e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.356558,0.0,1.4149872814659048e-05,0.20500025772125857,-2.1268993439199208e-07,0.0,0.0,0.9999999999999776,0.0,5.495370402055461e-09,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.387947,0.0,1.4153121665804396e-05,0.20500024681866022,-2.038893827558233e-07,0.0,0.0,0.9999999999999793,0.0,5.027034445504934e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.398860,0.0,1.4154050193870363e-05,0.20500024556917038,-2.0287323795241116e-07,0.0,0.0,0.9999999999999796,0.0,5.519479363926323e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.411831,0.0,1.4155620319573398e-05,0.20500024381655377,-2.0144533482045941e-07,0.0,0.0,0.9999999999999798,0.0,6.203125990986113e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.422301,0.0,1.4158015687849542e-05,0.20500024168943332,-1.9970826532111325e-07,0.0,0.0,0.99999999999998,0.0,7.02178912097023e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.432078,0.0,1.4159331348646503e-05,0.20500024070883302,-1.9890598915484602e-07,0.0,0.0,0.9999999999999802,0.0,7.395110822043081e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.442481,0.0,1.4162175887722373e-05,0.2050002388994359,-1.9742317765959976e-07,0.0,0.0,0.9999999999999805,0.0,8.07722866487553e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.453251,0.0,1.416527767611938e-05,0.20500023727526528,-1.9608945623377428e-07,0.0,0.0,0.9999999999999809,0.0,8.682121216882798e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.464290,0.0,1.4168607718044106e-05,0.205000235817509,-1.948902196767945e-07,0.0,0.0,0.9999999999999811,0.0,9.219108677433202e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.475763,0.0,1.416947283317465e-05,0.20500023547704946,-1.9460984263874186e-07,0.0,0.0,0.9999999999999811,0.0,9.343728621524913e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.492383,0.0,1.4173052664941694e-05,0.20500023420370456,-1.9356022404983933e-07,0.0,0.0,0.9999999999999813,0.0,9.807083076640634e-08,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.499751,0.0,1.4175853496285607e-05,0.20500023333521386,-1.9284343526549545e-07,0.0,0.0,0.9999999999999816,0.0,1.012066734534407e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.514995,0.0,1.4180718155416313e-05,0.20500023203574,-1.9176959830953302e-07,0.0,0.0,0.9999999999999816,0.0,1.0586195727756694e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.525767,0.0,1.4181718108919315e-05,0.20500023179631557,-1.9157157118807064e-07,0.0,0.0,0.9999999999999818,0.0,1.0671484251265752e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.539448,0.0,1.4185799715298027e-05,0.20500023090097313,-1.9083055273204456e-07,0.0,0.0,0.9999999999999818,0.0,1.0989122047871545e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.556020,0.0,1.4188940495784029e-05,0.20500023029041187,-1.9032479279314979e-07,0.0,0.0,0.999999999999982,0.0,1.1204554196188937e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.568607,0.0,1.4193223732552514e-05,0.20500022954992786,-1.8971093655488078e-07,0.0,0.0,0.999999999999982,0.0,1.1464511366905242e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.584714,0.0,1.4197605340292157e-05,0.2050002288856345,-1.891598000290723e-07,0.0,0.0,0.9999999999999822,0.0,1.1696509675563415e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.601335,0.0,1.4203204717633815e-05,0.20500022815058208,-1.8854947149924097e-07,0.0,0.0,0.9999999999999822,0.0,1.1951916347049349e-07,0.0,0.0,0.0,0.0
2025-07-02 08:32:15.618280,0.0,1.4210087084350227e-05,0.20500022736498455,-1.8788869038947095e-07,0.0,0.0,0.9999999999999825,0.0,1.2560916170321768e-07,0.0,0.0,0.0,0.0
